feature	X1965	X1798	X1877	X1867	X1871	X1862	X1861	X1858	X1855	X1844	X1836	X1830	X1891	X1814	X1812	X1949	X1934	X1786	X1790	X2295	X2301	X2303	X2318	X2290	X2325	X2328	X9226	X10068	X9712	X9286	X9262	X15452	X7967	X7962	X7985	X8000	X8007	X8002	X8053	X8028	X8071	X8059	X4046	X4037	X4041	X6744	X6747	X6754	X6602	X6846	X4348	X14874	X4285	X14853	X4121	X14851	X14890	X14894	X15316	X15346	X15300	X15286	X15271	X63326	X79883	X7263	X25416	X14963	X63327	X14837	X15350	X14838	X4198	X4181	X4262	X29305	X7253	X15091	X15254	X15078	X15124	X15132	X15127	X15126	X15158	X15154	X15120	X15234	X14987	X14995	X14993	X14027	X3813	X14143	X5090	X4799	X4791	X4862	X4815	X4811	X4831	X4837	X4826	X4820	X4677	X48013	X4868	X25431	X4874	X4768	X4630	X4552	X4581	X4575	X4577	X4617	X4613	X4584	X4557	X4608	X29302	X4606	X4724	X4725	X4763	X4762	X4761	X4758	X4760	X4753	X4749	X4742	X4705	X4699	X4716	X4721	X4652	X4644	X4670	X59869	X4532	X4540	X5075	X5082	X4936	X4940	X4951	X4925	X4933	X4938	X4964	X4959	X4910	X4914	X4993	X4988	X4987	X3922	X3958	X6140	X6148	X4080	X5792	X6952	X6939	X5825	X4053	X14546	X72479	X14341	X14809	X14807	X63101	X14797	X17130	X17167	X17168	X17248	X17244	X17237	X17234	X16971
01-2020-08	83287	0	470764	0	145278	7817	0	68358	0	0	4468906	21294	0	666949	390631	329738	427099	149410	105347	282887	165091	2635823	547304	0	30218	0	1322228	1796	0	0	0	0	0	0	0	0	26356	0	0	1172	406	0	0	2554	0	1569	0	0	46424	0	435183	902697	736683	31151	0	28360	9371	17838	299956	77479	48311	278140	40243	0	120	0	1987	561	551	0	0	71	67182	144119	0	1664	0	2565441	0	17900	4081	0	771	0	201	2991	0	832584	0	0	7921	0	1872	0	12908	84724	0	0	43731	127125	19877	310806	195560	35351	108710	0	77091	13627	43975	1325	4470	17226	35477	0	15674	0	22302	0	0	119477	2155	92	1052	2597	6555	10848	3660	142354	0	0	0	0	6217	2332	0	12162	0	0	39153	1021	130041	26954	11188	14476	1559	0	0	3089	0	0	432802	1265	0	3139	0	20653	7844	1741	2897	0	0	20686	202784	0	0	0	131638	83844	0	0	42783	378	12815	49934	0	14306	0	6048	353281	0	15958	0
01-2020-09	0	0	0	0	0	7035120	0	0	0	0	0	0	0	34755214	0	0	0	0	0	0	0	0	0	0	0	0	0	36576	50665	0	0	0	0	33278	13414	0	7796	25218	0	55	22043	0	0	25701	137749	32625	8163	0	7877	67541	0	66283	0	0	1231	0	0	0	329305	0	66426	0	116179	0	0	0	0	0	0	0	0	0	0	0	0	0	5272	168	0	156139	0	96639	0	0	10897	98250	0	0	0	0	0	0	0	0	0	0	871513	678503	12567	21004	0	2091741	0	4388	0	6953	410074	0	88635	0	155543	0	0	0	0	0	1167	94094	0	187519	0	82219	0	0	0	1003050	0	2688159	80438	119494	0	546920	0	5776	0	3729	0	0	0	0	0	0	0	0	0	15232	202561	2019244	22186	0	74330	0	64271	0	0	0	0	0	0	37246	2068	0	0	64020	173376	0	0	0	0	0	128424	0	0	0	0	0	0	0	0	0	0	11541
01-2020-10	0	0	111541	0	46261	0	127801	0	0	0	33789	0	0	341646	25770	0	0	0	0	0	0	0	0	0	0	0	0	497238	0	0	5915	595546	0	174	0	0	0	534897	0	82	794	3422	0	82144	0	200917	0	0	0	2135	0	82348	0	0	0	0	0	0	0	0	0	0	65591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98118	0	209	0	28060	0	0	0	1020	1118	0	0	0	0	0	0	0	0	44639	136183	78683	0	0	0	15647	909972	0	0	0	2570019	0	0	0	0	0	0	0	208043	0	0	65535	0	1706163	0	256553	0	0	0	61805	810	849393	958	173414	0	165066	0	56695	0	0	0	0	0	0	0	797046	0	0	0	0	0	0	0	0	658	0	0	0	0	0	133043	3083	0	0	0	7208	0	0	0	108607	0	111325	0	0	454536	0	0	0	0	673	24583	287930	0	221178	0	0
01-2020-12	349355	0	0	0	0	0	648022	0	0	0	20166	2936306	0	59355	4555488	581807	853300	0	0	0	0	0	252340	0	0	0	0	0	0	0	224661	151845	0	299	3763	0	0	22621	0	0	0	0	0	0	0	4910	0	0	211009	0	13045	378994	0	11391	0	22192	0	0	4814	0	2093	10589	888831	0	0	9384	0	3032	2529	705	0	20802	0	66858	0	0	36	357533	41608	113302	18129	51401	88004	23	108070	16196	0	155518	0	0	0	0	0	11546	2341	9126	0	0	0	22554	500	1426	0	13255	56084	0	750205	15256	106000	0	0	509	0	12383	6034	241759	2387	21183	0	77878	0	0	42494	165820	547228	3345	0	2378	0	0	0	152119	2774	114127	0	35234	0	0	0	833	0	0	0	0	0	0	3831	0	133699	0	219555	3839	14834	0	0	135259	18251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01-2020-14	82822	0	998183	133355	1076162	331398	298664	4745	160434	49987	4651627	1673883	900637	12886028	0	1783686	0	0	0	42108	0	64297	100447	3524	0	10035	0	0	57	1188059	0	118283	0	0	0	0	21797	1248	0	0	0	0	0	283677	53613	0	0	0	6521	0	0	36505	0	0	14562	0	5674	0	1895853	0	765504	0	29161	0	1493	333	0	5934	0	3276	0	0	44752	1504	0	792	7359	20004	0	92660	3103	180951	0	1285	237	107822	81112	0	8323	2129	0	11118	0	13535	5405	229813	319874	35962	4098	55335	0	1068225	155287	38726	0	7011	212124	45004	47182	0	3270	0	0	0	0	32900	1219	9029	0	114089	0	5952	39494	12288	51394	31266	12632	2185606	0	36684	12069	847614	0	160498	34236	161110	0	3513	997	0	21327	45255	0	0	844	0	0	0	827256	0	39578	23667	0	23760	9094	119628	8050	0	5056	0	3170	0	6508	0	0	0	0	6022	0	0	48618	0	3774	360	0	0	0	1514471	0	528426	551	0
01-2020-16	0	35355	1745729	58800	56529	15696	185073	229755	0	325	1258757	279245	96642	1349563	71186	296668	233977	24899	92525	300854	28326	586723	146580	102301	86171	0	0	35989	11176	97768	0	62414	0	0	383	0	2722454	6123	1156	2131	62241	0	10590	149222	172684	4435	0	0	29456	0	114425	323228	0	340705	8166	985801	7622	0	0	0	0	243402	829908	2188	986	2319	0	82321	551	21	234	0	0	64404	0	558	11	0	0	252774	19273	132799	0	0	3758	781	48897	0	0	296	808	0	4672	26823	0	16886	56684	75598	59866	534451	0	86771	316727	341032	149798	3876	0	40194	546487	0	88998	0	0	9058	180205	128931	45	0	11505	948299	0	32026	0	3225	0	1989	14540	48687	615593	4888	15283	93760	27058	13981	0	20042	0	0	0	0	0	598090	0	0	0	0	0	61154	153932	0	34813	0	0	0	0	0	137301	611	0	3474	0	0	143870	586	0	0	0	113986	0	5355	12502	0	0	4055	0	0	424	432179	807299	0	138235	40044
01-2020-19	17968	481889	123351	0	669200	170761	891992	0	0	46670	1647181	10271209	0	5823309	1222503	363053	1665487	4854	122016	80574	21593	89353	366641	111661	20358	63828	0	0	0	234440	16106	49032	0	0	428	0	0	301	0	0	0	0	0	61713	0	11043	0	0	3745	0	16490	241087	211277	2134	0	0	0	0	415784	2876	0	51797	13020	0	0	507	574	1421	0	0	0	0	5257	9329	1740	0	166	29777	0	274308	5959	82334	0	19954	25876	53239	20193	0	13428	471	7951	5299	0	0	2959	158784	1121	6552	5169	222000	0	375716	8568	0	22137	0	0	7069	105309	507	172	0	108483	6974	0	13851	611	4814	0	61284	0	0	3123	0	27436	0	7691	240183	0	440215	757208	278474	27818	4541	0	54941	0	315	4355	0	3755	32598	6824	7084	0	0	22349	94185	1330	41969	23583	0	0	3215	293	0	246680	0	0	0	0	0	125078	0	0	0	0	4789	39	0	2764	0	0	13238	0	0	0	0	0	0	0	0
01-2020-20	0	9726	1973110	233709	274881	0	129318	0	0	0	316106	763170	0	1988985	3962217	399958	203361	0	0	492515	0	0	0	0	0	0	8190	2085428	0	0	0	166994	264406	0	0	0	34488	30819	18	571	5776	11006	39604	109459	388701	88028	0	0	285778	17093	459808	535594	0	24275	55750	0	102827	3149	550350	0	0	54667	1442052	6532	0	2931	45	3795	8889	0	0	0	417046	133187	0	4124	2855	2233033	15172	357263	4146	124606	28896	23971	3618	8841	0	0	123822	0	0	0	815	0	0	123549	72670	43125	0	0	0	3123939	1054881	234454	0	0	0	4978	59380	0	60575	0	0	80034	0	240039	44488	38349	0	655746	205	1506	0	6758	34091	61998	0	98207	36846	0	0	366016	4731	39081	0	160364	0	18946	0	0	0	17567	0	71688	0	0	0	0	528636	0	380413	0	0	123779	11839	29226	453317	0	0	14139	2514	24857	0	0	1862	42958	0	0	0	0	359668	50551	0	70049	0	0	0	0	0	0	0	0
01-2020-21	0	0	342186	2604242	3490470	0	351788	0	0	0	1883164	2032477	0	2250301	1590733	728946	2244252	0	0	0	0	0	0	0	0	0	0	4545	0	0	0	289497	0	0	0	0	8677	83789	0	0	0	544	0	5142	25126	8852	0	0	6961	0	3156	277797	0	21213	8248	12628	1728	0	1639840	0	0	0	277391	0	1438	0	0	31069	60	18948	0	727	0	37119	0	0	3674	293433	0	180342	0	186383	0	0	99385	6792	71484	0	0	5195	9638	0	208	0	0	277529	637433	495704	0	0	0	197385	0	5012	0	0	0	613	0	0	45237	0	0	0	546117	7875	2074	616377	0	461203	0	131387	0	44028	219	26142	5891	107187	1828	262042	0	19919	0	6416	0	220677	0	0	0	0	84431	149100	42350	0	0	81358	0	0	133308	0	244387	0	0	0	0	0	72338	0	0	0	13448	0	286397	0	0	0	0	53005	0	5788	39232	169	0	11115	0	0	216	114345	0	365025	0	0
01-2020-22	590690	0	0	326479	870355	0	499031	0	0	0	1745982	2098340	0	618635	548132	914218	1073222	0	0	0	159072	2576585	989642	0	0	289277	34023	3131	142	292841	36760	53042	607038	0	0	1393	9539	0	0	0	0	0	3458	51324	71542	0	0	0	9871	0	74872	460829	0	26770	0	0	0	1309	4307864	272370	31596	128016	396208	0	1843	0	0	13364	0	4285	15132	0	37798	4336	0	0	0	24180	0	370431	0	269825	16787	0	182231	48742	41864	0	1717	0	4816	0	49626	0	22639	2487	170	20007	0	97208	0	457878	72800	212661	0	0	0	0	23440	0	36631	0	104576	36303	2500	9225	6223	145567	0	2820	2315	0	239363	0	295343	16523	33247	437324	0	91556	40155	72880	31435	1401	23593	15719	0	0	0	0	73432	3430	4752	13101	23406	0	887521	179203	31783	0	85103	0	66947	16969	12361	0	8510	0	10680	4250	8989	36471	103462	0	141	19680	0	5244	0	0	11633	1190	1016	27039	0	0	0	898928	271823	1222218	0	665
01-2020-24	23545	0	0	0	1463	0	21862	2502	11724	13761	19439	0	0	220683	0	21120	0	0	1909	14668	3990	2526	23409	3088	0	2066	0	46272	0	0	6500	5143	475	4282	57175	2012	556555	64095	3642	1579	2916	23915	3147	14430	67935	604	0	63644	70138	8094	141058	470602	1364498	2340	31328	8973	0	0	55282	0	97960	5213	11660	0	0	0	0	0	2085	0	0	0	23919	902246	0	0	164	395548	0	779	0	0	0	0	0	0	289085	3793	0	0	1442	0	0	1427	0	25350	22085	0	45182	2457804	204318	853921	1485771	183118	12292	0	183699	1635	99188	0	0	89050	180836	195573	361630	0	4513	0	0	281673	3283	11789	0	0	35796	4768	0	12008	0	0	0	0	0	0	0	160945	4591	0	0	0	923003	189078	133237	5257	1421	16355	6296	19457	52923	37836	296294	47771	31869	5331	13394	59455	104258	2429	5015	0	21672	0	118160	0	0	0	0	40987	6795	11825	1989	24570	7493	62581	343	0	14343	0	0	0	3197	3959
01-2020-27	201785	0	796588	0	4293490	0	316425	21059	30680	0	342490	737132	0	3212302	0	2244705	0	0	208997	2465	409080	1016168	766836	0	0	0	0	1858	75	0	0	56977	2339	70498	0	0	0	291	0	0	0	109	1729	294887	0	0	5135	3212	5959	1821	22276	81184	0	7596	423	0	2411	0	113681	1105	207177	265658	74112	0	0	0	0	3454	0	606	3831	0	0	0	0	29	45380	153249	0	89290	9628	594330	0	0	13140	138678	0	0	62650	13690	0	0	15298	0	1745	143666	7623	56930	1172	11882	142	31982	9414	23918	0	0	44216	81924	38279	0	26223	174	36830	34	4383	104901	3503	0	9034	196700	0	0	0	681398	0	997141	165989	3317394	0	2485	0	4939038	0	74709	0	135066	4173	0	0	0	0	0	170725	546068	0	0	0	677	0	0	37438	0	0	589742	0	40484	123899	0	2278	2684	4365	0	0	0	7076	0	0	25586	2406	27604	22414	0	561	14262	0	0	0	327536	5516	66326	0	242
01-2020-28	191469	489922	327257	119398	15619	196129	104242	0	0	116831	972378	126785	3208572	5636533	890021	455965	3990677	51272	128649	62467	95689	132977	358260	1527	3703	0	0	9643	0	445427	5927	3393	0	2113	0	0	391	255201	0	0	0	0	433	2174	0	20376	0	0	13630	0	0	477918	0	44751	1645	0	0	0	0	0	18976	68467	8585	0	0	0	0	747	0	2675	0	0	0	5861	0	0	0	5155	0	206774	6123	50366	0	0	104899	7655	27097	0	5473	487	63569	0	64	0	16819	16656	21895	381140	0	35325	0	275450	111453	285784	23733	0	0	1583	12449	1114	0	0	378838	0	1204	0	0	14875	0	322429	0	48151	0	15506	39070	0	21368	1218995	388992	647175	4205037	406	329999	570	0	130223	0	0	0	0	113385	11803	0	0	174480	90100	0	0	484579	19155	87688	237377	0	9377	0	0	0	0	0	0	0	0	0	0	0	0	27373	7283	0	0	0	0	0	0	0	0	0	0	0	0	0	3385
01-2020-29	0	0	0	0	1479783	0	0	0	1920399	0	1184037	1126127	0	2975382	0	0	747825	0	1930396	339861	1034255	3439945	1369617	0	8085	146855	0	234129	2657	0	182176	154020	8312	0	3015	8264	428653	2673	1247	19523	57051	1411	5143	44994	340	259	1383	5956	459957	11487	152152	391575	839419	19771	691	0	1095	2475	1430922	87987	83224	1336472	64424	651	147	0	0	58498	551	4360	10490	5903	0	609735	503519	0	225	647982	34694	90577	0	242508	558	210020	5873	21445	117239	0	15591	80	7716	0	10833	960	143242	27525	0	0	38468	190392	28202	565117	166520	228960	5052	0	110907	5069	180193	314	5707	3220	97234	26356	80782	48324	3952	6740	0	450474	0	0	29231	0	0	19515	14736	28485	0	3117	0	228328	18558	16128	35105	99464	3697	603	53378	1707	85387	16922	30797	7250	6153	0	76445	14573	407864	0	46595	0	16228	7858	80592	32659	0	713	0	19762	48049	0	0	6770	53	79743	0	40560	114	5001	37708	0	0	0	0	0	0	89861	18186	0	0	0
01-2020-41	0	0	919870	289110	863149	0	586242	0	261330	1144179	3049340	3852553	0	5060931	0	1287277	899126	0	483094	0	0	0	1476986	212335	0	0	119770	1021155	0	0	0	121506	0	0	6343	2352	27906	2928	5358	81	33921	0	0	16540	25780	2092	1073	0	107506	0	163393	279602	130697	17059	3620	32728	0	0	257439	0	0	0	209456	0	0	0	7886	43477	2236	12642	0	1063	0	259736	0	1885	1936	151171	201146	208568	1428	14511	33244	1176	30946	151496	0	0	0	2597	31233	25881	277	0	13578	33686	0	52193	0	9355	0	464733	200483	151872	16754	0	0	3060	344819	0	4962	0	147195	0	0	193483	1552	138142	194924	132748	468	8121	0	26469	11223	0	1833	54066	167	0	30891	17718	49513	1203	0	82798	16979	25918	0	0	82552	7207	0	9454	36712	34562	31742	112313	817878	0	54249	0	0	86296	0	16102	58099	382	0	0	0	0	193341	7485	5278	0	890	0	0	0	12862	0	0	12426	154	1012	0	80515	0	0	16160	12453
01-2020-42	387358	0	751639	0	460585	0	535408	12756	21170	0	3510168	0	0	0	0	0	129237	0	294609	0	374228	30517	759788	0	0	0	62338	0	2039	0	29678	0	0	0	0	124170	94400	86638	16536	36306	56236	0	0	0	0	0	0	4260	840730	15011	1463054	587083	248654	2789	9609	9341	0	191	833883	83517	481963	75905	7711	280	0	0	2139	0	0	1066	219	0	0	360269	14049	0	0	2278391	140493	13603	0	0	8933	1658	3269	14805	72481	11943	34953	0	186177	11306	3885	0	418878	273772	0	0	47334	63360	0	112389	132232	375835	0	0	49637	3845	354077	242	0	10048	253103	51402	64220	0	0	0	51437	42939	0	0	1530	0	0	0	1349	1137	0	0	34358	1992	45491	0	48921	250319	0	16972	90515	164	188114	23211	0	88284	54098	48504	0	0	520657	0	516273	54446	3368	33595	33572	0	0	724	61798	10444	5828	0	0	2252	37402	231689	771	11030	38	143781	9893	16886	1162	9864	0	4990	0	0	0	4420	127211	5115
01-2020-44	0	0	0	1052065	401502	0	504779	227484	0	3836	3474289	4780055	0	2127619	1528018	181611	354972	0	594553	0	0	845039	1131545	0	4543	0	47580	375236	0	0	0	70825	79909	0	5214	0	33163	6155	0	371	4428	0	0	26358	84097	4080	0	0	37212	0	336781	174272	325333	32441	7460	0	0	4997	1650505	1026	343533	26805	60930	433	1470	0	30	37371	399	16007	0	0	0	160352	605269	0	0	263584	439707	143995	11015	79004	6484	3593	12262	13001	73919	81298	0	2769	30683	0	1145	0	37739	148374	0	57	375	720045	21441	768423	569994	393457	0	0	131682	0	125812	13206	474	0	215872	31793	85763	7495	2894	62497	0	219088	0	40920	30979	0	8072	35897	1055	75791	7902	4161	0	10730	0	2650	92477	70920	58056	0	0	473	143884	128052	0	8043	0	141298	186892	0	884	0	45305	17872	751362	388671	2347	0	3265	0	0	0	0	0	0	1098	17574	46610	5044	0	0	9808	14072	0	1882	17067	0	0	0	104550	0	5588	0	0
