feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1541	X1564	X1561	X1526	X1536	X1457	X1458	X1528	X1411	X1464	X1466	X1469	X1468	X2016	X2037	X2036	X2043	X2048	X2053	X1341	X2532	X2489	X2492	X2502	X2497	X2483	X2480	X2479	X2476	X9712	X9649	X9418	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X5989	X6001	X6055	X6067	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7298	X4482	X4481	X4494	X5266	X5265	X4799	X7281	X5286	X5285	X5273	X7282	X3936	X3934	X3920	X3922	X3931	X749	X748	X6936	X6956	X6952	X6939	X5868	X5825	X5884	X5880	X5898	X19880	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15878	X15873	X15872	X15877	X17167	X17168	X17169	X17153	X17154	X17151	X17132	X17137	X15892	X17234	X17300	X15494	X16971	X16988	X16987
01-2020-06-SL	0	25010.3956568303	95086.0310295852	0	3039.06033154752	248863.222338169	14017.3426713905	345219.528889082	1203.80761614154	9914.79585687131	0	0	10915.5070960565	218683.100722449	0	0	0	0	6997.59335149763	1340.43608791221	34290.053753038	0	0	55593.0173650643	0	0	0	0	41978.1747861873	48647.1212731555	0	0	0	0	1728.16553482897	0	0	0	0	3880.98713056676	1214.88560033917	0	5616.53798819414	0	0	0	0	0	0	0	0	0	0	0	0	27070.9007175879	0	0	0	15926.4486147806	29622.5297444401	1100.41309696374	0	5206.65257288214	6846.19423413013	0	753.302925438267	0	4523.51021402881	0	0	0	15520.2558608678	0	0	0	25416.5884107431	5062.63877831306	0	0	0	2861.81258438557	0	0	0	19279.3851652607	0	7606.88248236681	0	0	148714.552530271	3212.61541731026	206046.813414362	127526.06142162	17074.866309934	0	0	0	0	0	0	0	0	0	0	36376.40744359	0	0	0	0	0	29467.4379656734	0	52214.2321847897	0	0	0	29423.1260288829	2507.31709006168	0	0	638.830422062844	59.082582387315	0	4139.47342851126	0	0	5202.95991148293	0	14113.3518677699	24792.5286342771	317.568880331818
01-2020-08-SL	0	2806.81869071054	93121.2718660629	0	4347.19443610756	59525.4651234563	211530.378885727	653624.834548971	11244.4782720261	176658.865769784	0	0	353.333611701893	0	0	0	0	0	0	0	0	0	40008.7456276529	0	0	0	0	0	0	0	0	0	1311.43673856395	9536.03747537018	0	0	0	5442.92563644151	0	9660.43208023901	0	4682.00119176515	11282.855330975	0	76.7541178977894	26611.1820139077	684.170326778571	0	0	6247.520527508	0	0	0	0	0	225969.416478533	0	0	0	103578.358756206	0	1210.86237718064	0	75523.4053177042	0	682.846979918264	16205.705651316	25191.2308327986	0	0	0	0	6416.90892562726	0	358.626999143119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6125.77261635978	0	200428.822074614	440368.811357405	33512.4358904072	0	0	0	0	0	0	0	0	0	0	11943.2054142681	0	0	0	0	749.0143229336	27123.3172488464	768.864525838201	1685.94390003075	0	0	0	43246.9753948234	0	20071.2018302719	0	31180.6987225468	5523.64979492022	1811.66185175989	12768.9738550995	47.6404869710417	3884.02303500021	172831.746649777	940.899617678074	213743.01483616	40024.6257899766	26414.003331722
01-2020-09-SL	0	7026.92090448843	8449.70038191672	10798.0654135479	524.455208833055	106141.166435191	0	92148.3379797168	17717.2393320632	0	3825.66708027479	3819.17629798725	960.635778555596	0	4096.98177989387	172.654808848506	0	0	0	0	0	0	7431.94571923079	314.15386271683	0	0	21309.2382499866	5735.25522926841	0	0	89.5727955680218	0	26212.3751899927	4633.12039684449	2801.42163530132	4521.47894149884	0	38422.8348293088	0	68280.4333519828	0	8174.49121292512	119902.923041228	3128.55706259323	12692.0756850514	0	22138.760226334	0	3237.60220502386	1490.28361321868	476.423419905275	668.550575616395	4698.02821971987	0	0	23494.0355679719	1355.2753416379	35206.0031276051	55953.1396314909	84481.4259416771	0	34219.4042198993	0	104720.983270678	1909.58814899362	2553.47375191738	9815.36097521468	4669.4687776547	0	868.466670072559	241.457101096407	10992.788882174	2082.24295784213	0	186.934529881089	0	5565.19673333492	3826.96523673229	1939.4457475163	0	0	7831.77790814312	0	0	2737.81196888345	0	2814.4031998764	0	0	0	66461.7161550147	0	413830.209993633	245713.756120574	21628.5847385335	5454.85343444678	4048.94999096609	707.495269341621	5623.61377392276	0	197.319781541149	5469.13315547936	0	0	0	3135.04784488076	13790.3160481028	401.130345369837	8175.78936938263	0	0	7655.2286299221	795.769908452136	25263.4228195547	0	35979.7043762796	27311.9137095016	0	0	0	1542.20987151898	0	0	4033.372113476	9423.3177250474	0	0	0	7991.45115241655	755320.651392658	122997.728035927	36223.757790291
01-2020-10-SL	0	15023.654306103	3174.59150064206	703.972678136361	147366.041496387	139703.213845185	3577.75686230472	7310.99052211221	1834.98431448092	0	0	487398.870774219	18986.0744927476	2391.83595390544	387837.319000605	1791.71342074214	1643.39870220303	201.135050896103	7251.00811079156	35432.8935729211	163792.866439453	325595.57018688	0	1595.94992906878	7376.64291261242	33061.6485960362	275046.512121241	58318.1232214676	0	1876.46468847878	5541.95701808833	15765.8247387122	79090.5395757346	14961.8813750414	4689.66962141285	22006.3828757141	13177.6284532198	48959.3749556624	17114.0861036211	79366.5780357923	18769.7200240537	12631.2215122839	4605.81361354667	6996.75430758165	2306.48784625517	52552.6496557217	155603.327564465	0	7513.61767279241	1981.2100933223	107.729604411711	2238.4480961004	0	0	9811.45134029982	45.0614134796908	19160.6501674868	58473.3015990136	37777.2807536923	3731.7415600234	308.566235350995	0	0	216.354468693879	79322.7103021399	3212.7892551149	20114.9971893944	35314.4208500639	7091.0550139365	3244.42177053774	51157.5363575922	2889.60044187977	0	0	37929.1765117132	10369.1982395948	0	9685.21969856532	0	9114.3423211703	914.358747693858	7515.40819253333	0	0	9483.18938779876	2251.28015424362	834.382199266327	347.659249694303	104426.692329637	2512.39761646037	3690.55960598236	469028.138232433	68587.0523555712	10358.1567011925	0	1045.36510873746	0	99.9706855344133	0	0	28.946735811457	239.332805368954	11704.3291264037	232.469146362113	475.084571256077	7340.83251779413	120.263242598115	109.221704195807	0	7290.10112513487	14076.1709432022	17680.4871816638	0	3107.44701035775	1466.13724785245	0	1172.79043029924	5201.16142740086	52702.456474045	7329.79097939182	2010.15682913375	255.745902994007	0	15311.3311444766	30308.7244943796	3954.06442785366	0	0	0	96097.4929148576	13655.697224044	9932.31142281158
01-2020-12-SL	8902.09380259057	127719.398770903	0	11818.4395882906	0	206398.685074469	366185.477506005	23181.8465007981	657.729049540846	0	0	0	0	0	0	0	7247.42952701612	0	0	0	0	0	0	0	0	0	0	0	0	248.199641336168	1108.62506463489	114498.631209063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150231.106240094	0	0	785.965530897866	0	0	0	0	0	0	0	1683389.24739843	0	0	0	11123.4805925493	0	0	6415.96072853995	0	0	52883.0702473596	0	0	0	0	0	19611.9083262462	57350.6637914106	0	4153.20733169188	20670.8934626139	0	8864.86385639015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9352.98981768461	0	0	0	0	0	0	0	0	0	0	0	0	0	8294.00468131696	0	0	0	0	0	0	0	0	0	3458.24833595061	4554.46341851869	6813.08015467782	0
01-2020-14-SL	0	76693.4514532293	139745.590526148	1982.86960779246	45278.9832166849	3238934.45219881	363903.289853137	0	230822.632773076	3290.94065795921	116449.468013655	103124.791879615	125450.242620754	208881.29813397	37181.4005251764	36480.6481768728	0	57638.1783375065	76714.2144857717	0	2823.7724257568	0	63057.3298310545	41723.313893811	2958.73213728194	7272.25214795088	8061.2473845594	0	8087.20117523731	5066.17994032838	0	9265.50327201451	1370.36014779374	8627.04002133788	18245.514846572	7739.42038015329	0	28180.6259180766	0	66493.61171681	550.22036237173	60456.7600051277	126872.510349904	14383.5907936987	513.885055422653	4002.074522534	72649.8508656107	0	21837.519476395	1583.18123135262	0	0	0	0	0	759579.210254173	25102.5063436763	46265.2272624455	0	11435.2401726879	46031.6431463443	14617.1749097999	55198.5220137828	5844.79366066573	55489.2044693754	12208.6631348897	19522.4413479252	7998.95828693241	70438.5878998526	134.959711525141	2148.9738681311	3228.65156033223	14477.0244401392	0	21064.0965141932	0	0	4785.87900100693	14471.8336820036	846.093576099924	0	0	3093.69184880709	1806.38383118266	52421.4664112462	14715.799314376	7573.31611981466	7511.02702218767	74051.3555622179	35899.2832656876	113044.330676713	467609.446643937	267246.182610458	386130.1161897	35899.2832656876	15380.2163557305	0	0	456.786715931247	0	0	0	269.919423050283	2226.83524016483	11367.7603169254	17622.6238703021	14326.4924542073	0	5849.98441880132	0	20856.4661887699	2803.00939321447	14051.3822730214	26898.5086585878	0	0	6514.40146015586	539.838846100565	0	1100.44072474346	1141.96678982812	0	6940.04362727361	2927.58758846845	42631.6965675379	0	14326.4924542073	51424.8408492144	420.451408982171	181956.835684704	32847.1174819652	101988.015847922
01-2020-16-SL	1278.52568936895	12627.1776589605	29910.5073226667	6331.79189287329	6062.57816584992	241446.390901233	82529.815256133	135697.131203327	51191.804541065	0	3539.05874599393	9119.73475991236	10933.8137354239	9226.07897236643	22067.3821401871	0	2556.09332276985	5112.66567352372	1108.94978302328	261.549279278924	0	64.6687778436899	35044.7292554716	14576.3425259677	0	0	22787.3612001802	1623.90486585266	3100.74814060893	1059.60990066846	278.794286703908	0	2823.3909378571	652.915142229255	10863.8756497559	7170.56989290515	0	4485.13901444792	0	87844.1517109323	6150.71931491095	0	1291.93847292172	867.998707057527	3768.51315034303	0	0	0	0	10994.1712614113	309.931105665684	0	3657.37865804869	0	0	78466.6998956132	180155.718400903	591641.235708366	31545.429832152	3248.28875968934	4205.38667177595	1761.3858972685	2701.71782991416	130467.103673716	0	4253.28947017869	14877.6511279209	0	0	1602.82763455546	0	14652.5079754281	1759.94881331642	1374.33128617442	0	0	13066.4463203136	3448.04342902874	1157.81063739406	0	34.490014849968	10447.1213036521	310.410133649712	920.691785300534	0	107.302268422123	1760.42784130045	0	0	130.774639639462	156427.06721211	348.732372371898	225326.141182745	32784.6752268307	5604.14838513577	4676.75020805885	7020.15510592056	6324.60647311288	3633.42725884732	1131.46409827256	5981.6224365493	8220.59923389306	0	830.634524303395	66287.4134017183	7695.5845633991	3322.05906922955	68932.6059295172	73354.5132500735	0	0	3951.50184024147	9697.44250864933	40683.3676554573	2378.85296867973	616.02998745915	29211.1264659868	2927.81903837506	1464.38854717156	87.6621210770019	1191.34259627598	11367.3340609686	7881.92644918573	6489.39209961828	12725.8574236701	0	18681.612349082	2572.38027422678	4702.1386912123	1585281.31852852	421891.921232473	5181.64570322366
01-2020-19-SL	0	5535.40848150122	26160.8280957892	1898.51382894334	4550.08557483837	314375.712812953	53961.9375164329	88345.8118318095	36226.1251965017	0	0	131133.062327729	13702.1917532704	7648.87562390395	0	60.5908668811705	0	0	3864.83172320609	0	0	0	35297.0652376571	2790.06515590914	0	2967.50983748971	0	0	0	0	0	0	16721.6366195154	14908.2385321432	6405.32021315231	0	1663.36355985689	10190.8067535378	0	21752.1212103402	0	0	0	1060.34017042048	0	0	3258.92305439438	0	0	18447.0336859411	0	2145.20521553096	264.003062839386	0	1028.60209729225	0	22495.0806494784	35976.5485305388	0	12986.6424681975	0	0	0	31530.333013211	665.056896005228	892.993966653441	35941.9251780353	0	0	1595.55949453749	13650.2567245151	38755.0725689468	56816.9214582861	0	4558.74141296425	74141.581467238	37667.322244461	26434.9296364421	0	2583.76768057563	11552.6586186765	55137.6888618651	478.956376298776	0	14875.0578193274	1888.41535112981	1794.64377143276	69.246705007052	16068.1208410113	210.62539439645	59012.6190628847	5506.55568774828	540170.46352501	8978.9894159144	18836.5464016058	0	108.197976573519	25114.9143222452	333.249767846438	0	0	543.875162242887	8325.47363741035	592.924911622882	14514.3978974156	20717.7485542974	679.483292881697	0	0	10296.119450736	11483.4119136695	25774.2006594998	6396.66437502643	22434.4897825972	0	2661.67022370856	0	67695.8673428315	1234.89957262576	4065.35863978901	10327.8575238643	16483.6010710537	600.138110061117	4162.01549886135	64755.7676594071	0	0	0	0	436148.928847229	178874.337511029	19403.503798851
01-2020-20-SL	0	4283.38494334186	52644.8217920814	1448.26752709662	96161.5296947285	2349015.9636233	128280.312722701	0	192.838175062569	0	0	558511.526953221	2366.8904774803	0	169368.052105211	690.783325737834	0	0	0	678.235636264584	0	0	317405.692510607	0	0	0	64974.5777113217	305.106975612695	0	904.754451492191	1188.06807170398	0	5540.13510479416	2512.17951348635	330.202354559194	4923.31710647758	0	13433.9525928862	0	117634.588811713	1608.74587141239	2341.13469382469	8838.8566268405	1306.94091934529	0	0	509582.802459349	0	0	8165.90422824887	77.2673509668514	0	73.9653274212595	20199.138433095	4956.99774664262	36204.0465585791	109971.252567103	3346.27066110287	10052.020077491	2802.75758549844	0	328.221140431839	0	4113.00052838932	12977.6129388854	1842.5291384403	75728.6079946055	804.372935706196	0	15110.7201493378	0	41386.2423110311	1484.58978609814	0	179694.800541695	13828.874608939	10007.1125572709	36255.5581258904	0	30758.3493271889	2098.76616557824	27.7369977829723	0	0	182166.695367925	0	5072.56857073834	0	0	8323.08054901904	47615.8399321449	4633.39943917461	844845.177899808	6277.8071648794	62784.015291176	0	0	6895.28556790509	0	0	0	66.0404709118388	14301.0639759587	0	993.248682514055	153807.596348963	0	0	0	0	172.365629079899	0	0	4981.43272088	0	0	0	15476.5843581894	0	73464.0802470386	21029.9275571659	0	0	38004.970200345	27913.3258403069	0	0	0	735.690845957884	327205.437989215	16311.9963152242	6794.90405211909
01-2020-21-SL	2249.7092882708	18136.2978183613	22231.536997901	1222.55916779082	18251.5390513908	87486.4676601346	13586.7743578938	1451.37147105221	17419.7979782216	0	2179.56245077461	116520.577732369	101435.667345092	0	71508.02017618	27844.9541603941	14552.1284548653	0	4198.78927298649	0	16056.9451354384	77761.1096901265	2109.41561327842	0	23983.5377725084	9304.47694503092	269976.805732079	26826.1548539018	0	0	2501.9038706976	24923.8394275169	35176.9688415439	28895.4865600395	1048.86223684786	2700.65324360348	4526.14118130206	34029.5669996419	27574.3877871945	72249.5724582827	0	3620.91294504165	161137.306705544	10104.484925047	0	4073.52706317186	166725.671426074	57964.6700510219	36481.3659864136	1282.68502850184	0	25254.5316614275	15425.6235979726	2318.18596296947	13169.2336585117	4242.21350572223	12451.0636555745	8552.90368614313	3676.02831736009	3913.19143460913	0	0	3874.77769026597	0	34368.6100475402	9214.28815396439	10508.6643220489	3026.33498912153	70905.0914062723	273.906698794664	16947.141906521	27597.7700663599	0	0	27791.5089508732	20978.9148997547	0	5423.01860357483	213.78083808364	11201.7818830232	2533.63696385064	8392.5680575804	0	1000.42751571953	10136.2180182001	0	3188.34078048179	1571.62319247426	15980.1176467521	973.704910959079	967.024259768965	469294.033989123	2792.51219746755	27006.5324360348	3794.60987598461	424.221350572223	559.504537172026	0	0	3370.38852541239	6141.18860651206	5930.74809402348	4776.66560093133	0	0	41.7540699382109	686.436909784188	9598.42559739593	7497.36079810515	0	5085.64571847409	3185.00045488673	4679.79615867468	9012.19845546345	2520.27566147041	0	11213.4730226059	8427.64147632849	26208.1946188162	0	0	0	0	2323.19645136206	1329.44958683264	7450.59623977436	0	0	0	188006.885792181	14079.4723831647	64947.6207074883
01-2020-22-SL	0	24167.7206920658	85074.3185200629	5713.27602703374	6137.76507225687	70088.339191382	590633.191219287	324977.76764461	0	56556.6679946774	0	160205.630883904	21124.8272811551	0	3466.29957591641	3842.05901135627	2189.58379959481	1775.92355654574	772.093595010435	800.24848066299	0	0	6201.65500508382	1217.15736436428	1230.15192697315	0	5171.83591833077	0	0	404.997201309821	191.669798480851	430.986326527564	19033.7855813442	2336.85550916202	4457.13497484285	10548.3361977513	3129.52382830317	9259.70873903819	0	99919.5234204809	0	11859.7041410299	16480.354028701	374.676555222455	22191.4642952999	7727.43323140879	5654.80049529382	0	1336.27418827893	17096.512872405	348.687430004713	0	2382.33647829307	0	0	139419.745110797	16450.0333826136	42856.0674840575	18257.3604654641	30614.1066262833	2253.47373242176	0	1185.7538380595	38990.1851079183	397.41703978798	11884.6103860302	10029.6365736138	0	1425.07036610622	406.080081527227	8302.44262685134	1064.47125371004	39050.826400093	0	0	0	895.541939794712	19172.3942491722	0	0	2569.6747559043	8394.48744533085	1086.12885805816	0	555.517551529247	0	624.821885443227	10.8288021740594	0	0	147844.553202216	59982.9010025498	420547.361231771	57402.3974444715	104409.144801846	717.949584140138	2298.95470155281	13023.8003747412	0	0	0	49.8124900006732	7433.97269249178	76.8844954358217	12135.8385964684	5708.94450616412	4789.57920158647	3687.20714026723	6205.98652595344	152.686110654238	8786.4900840318	31282.2437204228	7954.83807706404	42955.6924640588	0	833.817767402574	2575.08915699133	25294.9989983853	0	0	13841.3749388827	120538.645640107	3212.90560504342	0	3678.54409852798	2750.51575221109	404.997201309821	0	9163.33239968906	475801.324324909	243876.536642209	14209.5542128007
01-2020-24-SL	0	0	453.344951167092	2025.68111465296	3803.78624012388	84160.8119214907	305.060651577856	0	125.421081590896	0	0	0	1130.09620391797	0	15211.2255516958	7424.01350146109	3812.27829252327	0	567.007806358841	0	0	21664.5321404274	849.858474738309	0	0	9187.74746133306	15940.8888232428	17782.3577243092	0	2004.77760105447	1953.17205185822	0	32638.8767796307	10970.4252304037	2270.64416463517	983.118373928635	1657.2566874797	31535.5632025108	9834.44991328611	35029.7161474572	0	5876.50026037342	114257.952094506	6821.07778110486	86.2269935937408	17483.8294207308	194449.056136685	0	70303.7421100966	555.902814759647	0	0	0	0	0	0	2450.93696942209	1855.84006666528	0	6704.8019867133	0	0	0	0	0	211.648075184636	1056.28067152332	0	29710.4251714433	0	1113.1120991192	0	0	0	14744.8159045297	328.577104376149	0	0	0	0	0	1810.76686546856	0	0	1672.28108787861	0	0	0	770.817063944046	0	0	60269.402348025	0	35144.6854722488	28.089096397961	0	470.329055965859	0	0	0	1398.57570669848	0	77.7349411943572	0	5689.67510758699	0	0	1504.3997442908	2307.87854823247	401.086167170885	1013.16717472645	0	165.921639187956	361.89207917373	644.089512753245	0	966.787503929821	772.776768343904	0	0	0	0	0	0	0	1324.76017430384	0	0	0	19664.9804177725	37743.9067412602	12819.0797142695
01-2020-27-SL	0	407.171004507167	12517.994987333	0	58308.3958861837	209082.31081443	29132.8340323615	23162.2493335543	0	3943.52658068978	0	53923.7673839445	11737.5838953609	1324.56246527949	129095.829040133	1269.26763750691	698.725550944397	0	0	66186.6521431449	153235.791464757	158702.439210455	11041.3717456789	2548.58888006338	8558.13129843767	1810.90560955194	352060.911727374	16383.6061288887	0	0	235129.944797208	22604.2742533037	15965.1248187008	6351.36499005932	1815.93241207672	0	0	8117.02937688824	32596.3009719349	97604.1679230189	77249.3877995541	1141.08417312502	65024.2040592896	4225.02752207745	0	81470.645219738	348349.874763456	0	20777.0315355463	8687.57146345075	0	21536.078716788	6876.66585389882	6273.44955092524	4551.76968618814	20024.2678574605	19483.8865860467	42602.1513975091	15325.4641974225	21292.2787943362	2170.3219900737	0	0	495.140048690814	11086.6129684019	5579.75080250562	4914.95616860349	1891.33444994841	1465.31293597332	1921.49526509709	31279.2787104425	1224.02641478389	0	0	36634.0800999643	2572.46619205608	0	12523.0217898578	0	21381.504539151	552.948277725782	8908.75077454107	0	0	18995.0300405118	0	0	1348.43977727219	20983.1304390622	0	102094.359278278	246484.235000055	7018.67302522385	44292.4137464663	1480.39334354766	0	84.1989422900623	20745.6140197664	388.320495039242	261.393731288552	0	994.050199275213	14518.6623921954	0	0	4001.33480972475	0	10651.7945500085	0	0	674.848238951693	4091.81725517079	1935.31897204024	2626.50431919747	0	0	0	1192.60889900402	9598.6794210671	0	0	0	0	6792.46691160876	1413.78821009433	1089.55944724603	0	0	0	75613.1635777383	19672.3916807259	59475.8707725638
01-2020-28-SL	0	55803.105991665	0	0	3228.84286751436	0	0	0	16383.0719341118	0	0	0	36370.3343874438	17261.7266642413	0	0	0	206.867739860564	3606.32317633209	0	0	0	0	0	0	0	0	0	8545.55704764204	16534.4905890613	0	0	0	0	177.01054029306	0	0	12540.0238183517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4307.96736616844	0	0	23047.6254090011	0	0	50352.0344134836	23145.7276361515	1580.29891996575	1802.09525961006	0	63919.9989598022	0	2232.89199622691	2422.69847919175	0	725.103418067955	0	0	0	0	0	0	0	0	0	763.491246083317	0	0	0	516.103021095427	0	0	648.32776203723	0	656.858390485088	0	970.358985943881	0	0	0	85340.4069923744	0	3341.87369444849	0	0	0	0	0	0	0	486.245821527923	0	0	3966.74222825411	0	0	1260.40035317106	0	0	5011.74421311675	21407.6120899004	0	0	0	0	0	0	0	0	0	0	151.418654949485	0	7069.75832616256	0	2068.67739860564	295823.000657718	277224.097984275	67244.811397355
