feature	X1524	X1525	X1522	X1520	X1568	X1552	X1545	X1543	X1540	X1542	X1564	X1561	X3323	X1536	X1457	X1458	X1528	X1411	X1469	X1468	X2036	X2043	X2048	X1341	X2532	X2492	X2502	X2497	X2483	X2480	X2479	X9712	X9649	X9418	X9416	X13165	X9434	X9422	X9467	X9450	X9463	X9447	X19351	X19300	X5989	X6001	X6055	X8007	X8095	X8163	X8130	X8047	X8053	X8028	X8026	X8071	X8059	X8249	X8255	X8235	X8236	X6833	X6602	X7298	X4482	X4481	X4494	X5266	X5265	X4799	X5286	X5285	X5273	X3934	X3922	X749	X6936	X6956	X6952	X6939	X5870	X5868	X5825	X5884	X5880	X5898	X19882	X19831	X19850	X19800	X14348	X969	X985	X17008	X17007	X16955	X15897	X17130	X15888	X15887	X15878	X15875	X15872	X15877	X17167	X17168	X17153	X17154	X17151	X17132	X17137	X15892	X17234	X17300	X16971	X16988	X16987
02-2020-08-SL	2517.48687566024	19376.5606313368	6388.08082036678	16365.3497566347	8179.30474863107	325736.514698882	0	25680.3882095462	2215.86026873709	6816.08729052589	44740.1566503715	8610.68134847646	0	36385.6051580533	2318.649224169	2497.26609754249	2888.20114115238	3294.30176835058	0	0	1398.60381981125	0	22689.398112962	0	3700.40239554879	169015.373897238	29495.375014429	110209.981001126	107245.951942032	4997.90232477127	14624.6777736648	27082.3621590438	0	5131.02244737981	4709.75623659329	509683.248171238	4885.00298028048	940.266182475512	26630.7647810806	178421.405851679	26142.0959765683	37.0714265492137	1991.74664459866	913.305144985175	0	529.110360747869	0	0	5501.73671287195	0	1833.35054934293	2109.70118361889	596.512954473712	0	0	0	0	20630.2488746374	67282.9541219798	2721.37972168092	277808.215365278	0	0	0	1024.51942463282	11719.625984081	42062.5886146124	2426.49337413035	5026.54842710475	0	0	0	0	3697.0322658625	0	3272.39592538968	11419.684442001	304186.220419887	124866.675006811	75534.7166588661	0	0	0	1329.51616124226	0	4598.54195694565	3836.89264784362	577.977241199105	0	906.56488561259	19794.456712437	0	219.05842960899	1703.60055642069	3319.57774099777	0	3023.00632860406	0	69444.8923157362	0	9003.3014569295	15901.9569247695	0	9495.34039112815	343.7532280018	0	0	0	4167.16535710025	117.954539020226	0	1487.91225649799	4507.54845541576	0	177546.857198087	14216.8920816235	252016.612876084
02-2020-10-SL	0	59328.0823649185	0	0	28279.1101059332	389454.085160107	1404.63902198756	15132.118851667	0	0	799.067606895985	26731.140571498	4242.58316845222	0	0	0	22527.9732939689	0	0	0	0	0	0	13953.2253867846	0	0	0	0	0	0	0	0	34496.0710833527	0	0	0	0	0	0	0	0	0	0	0	0	6127.37940713961	0	0	0	55235.9962345363	0	652.153831637082	0	0	7850.92881932333	123704.982030808	0	0	4346.49778997681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36749.9433915929	0	551585.977578146	31912.5385964827	9004.7394445274	0	1150.22736239287	0	0	0	0	0	0	189.912928993216	4296.33211062011	917.315279665346	799.067606895985	0	0	0	0	3203.43695320632	0	0	19553.8651606789	0	0	1497.80385507857	0	0	0	3690.76069552854	0	0	41444.0176742554	0	68454.6527450264	0	557476.861639747	360752.150042453	0
02-2020-13-SL	0	5401.1406934474	22477.0441628354	0	6518.19166871393	48732.5510341369	0	57846.2030869572	0	880.725307682468	105872.525091221	197.854047279681	0	470399.37139388	3478.93366466772	5440.98630019122	0	0	152718.592744004	8511.8459923446	1990.90635075179	70989.7573666616	15953.3565483637	0	3619.08028149083	124260.585610276	215.71587099243	4278.5937724231	1830.14993733705	5763.87311346014	7526.69771526452	293657.999742669	0	0	0	24002.1691106163	931.56280594183	917.822941547408	3570.99075611035	17371.3105538681	0	5082.3758394968	1889.23135423306	0	17808.2382416107	2258.83370644302	0	0	88501.2145373528	3494.04751550158	0	54653.0586016935	0	0	0	3682.28365770517	146663.434505382	0	4318.43937916692	14894.0130035537	0	1608.93812058685	9598.6692659434	12405.7235617239	0	0	6607.50078727767	11718.7303420028	0	11496.1445388131	4303.32552833306	284.415192964541	12036.1212095139	0	9905.06824193902	15546.6565622888	875.229361924699	396143.648260665	2385.24045887171	207095.480071369	0	4802.08260585059	0	71.4472948509958	0	0	0	0	0	0	0	1128.04286678207	70.0733084115536	1746.33676453107	377.846270846613	0	501.505050396413	3925.47925748644	0	0	6112.86566907847	0	0	0	0	7594.02305079719	43068.9789307561	0	0	0	990.644222837846	0	0	0	53966.0653819724	7187.32306472229	0
02-2020-16-SL	23722.5551813468	6156.09369907415	70938.6675111293	33151.7543149947	20958.1685039242	112309.735587192	111422.834410869	729808.525746607	26929.2735640343	73485.2449846103	150832.873729527	4397.95570698427	0	29227.4590343902	0	40580.3908288781	983.87102739353	1732.03072449414	0	560.187370411328	0	5228.91273845993	44415.9213996571	0	0	0	234173.985192492	34775.6263594494	0	0	0	2584.6194919777	0	0	1097.99708288345	16355.0842658306	294.639162866144	0	104430.5622268	73933.5440653256	0	0	21034.2525409175	2265.36490537843	0	0	631.049953885464	98463.9326982776	999.535387950971	0	0	1354.59422725296	0	0	0	18196.0195922955	0	2238.51171585139	14076.2927656886	32223.8274324492	0	3872.82666734436	5498.19055566165	0	36493.4845672487	0	0	0	11590.1349686434	31099.72308197	0	201.398921452808	23334.6757770673	43689.3934385644	7285.41950307249	4064.52860369018	139248.706136334	27149.3205337698	213725.281367651	177052.029614957	0	69666.8706182514	1216.59866996122	60465.9235955833	12885.8013633231	3551.33431495117	426.667344707429	602.704920495809	2598.04608674122	0	0	14476.8528428003	5333.34180884287	1332.21656931376	3696.78909155598	0	29784.6627170763	45346.8319699279	17966.275637453	57891.7470106439	3378.28042688802	822.005968299977	41162.9558572286	29111.0952131064	0	0	82281.1563985789	0	23977.6604818537	2726.34465892597	16738.4881385222	13255.03271932	55.1982229166954	8825.0023692895	131512.003864821	41036.1491289065	0
02-2020-18-SL	0	1879.72747454003	20668.6725560945	10358.284061604	302.297383737881	139563.86480604	0	2492.99897518852	1146.36998678097	0	11706.3013273192	0	1118.25737130132	13852.2309755985	73.9257666316518	0	0	8312.65744880137	4611.16307731514	0	1997.03690703533	1823.15517425384	0	1697.16900858581	610.147876706309	24502.0532718062	5146.34397940907	3202.40867939085	0	13236.1829203348	7694.87404690306	163011.521462696	0	190.541060473131	454.313748924095	37659.7985242595	2419.07320855687	751.058023431429	99709.5469277335	9401.41392731542	132263.955653159	0	21370.0996657779	223.512646529501	278.00253085424	395.311963349537	0	151348.950870567	241356.868903209	0	9516.98801317617	188672.439217052	7665.37315411578	3119.45911025956	877.391258426365	279083.998876889	4819.05760413373	41942.6340183186	49712.1279705071	12538.9206425743	97609.0833612793	528.586584882656	12484.0836889226	4570.55596606677	2385.75455317359	0	3096.20546535665	27967.5405009942	0	12463.2595293081	1479.90360994067	0	15772.5655613869	35014.7831838848	14530.7515097059	20377.1343214908	139450.37313614	151439.535964891	109846.400758769	8606.97223802034	0	46031.1106893085	1222.37816937407	0	318.956711429521	21.8653675952773	166.593276916398	22.5595062490956	11113.5069169583	433.142519982636	4816.62811884537	16815.8559580759	0	30.1950314410972	0	0	1254.65561677663	337364.227320802	5024.52264566396	383.858675561535	3607.43858389384	0	0	1120.68685658969	186535.533371272	301775.044400883	0	0	1104.02752889805	38549.6842784546	14310.0154177917	56.2252309592845	593.14147968776	0	1616907.83846076	12372.6744349848	10170.5195557461
02-2020-20-SL	1836.71106077965	1909.61867540602	995.469353552331	30068.7827553286	46554.31607796	205966.815458513	0	0	53965.6555186327	0	32732.7148282151	6312.11694322901	2007.76354124921	43096.8126612557	0	14539.4608399122	0	44.8662243854572	77049.3279649504	7055.21378461314	31549.3681600487	390313.719041285	69225.7800877363	2655.51965581425	2453.62164607969	0	222351.399776278	8931.18279173007	0	0	7346.84424311861	153627.560573854	8518.97435518868	47101.1231876578	0	440443.312374961	5448.44212380896	4528.68452390708	0	5849.43400425398	202789.725944218	0	0	0	0	2433.99267291105	0	82046.3037058807	0	144833.780594304	150212.119242511	0	21928.3671683922	0	0	423.424992637752	15377.8984081154	1253.45014376871	3892.14496543841	81835.9932790739	312417.541091059	36.453807313184	0	4068.80572395615	0	0	21350.7145294294	2086.27943392376	1068.3769681787	400.991880445024	667.385087733676	0	252.372512168197	3477.13238987293	0	15240.495595935	5397.96762137532	204149.733370902	0	379231.761618077	0	6797.23299439676	0	3036.88256309063	0	2347.06436316423	0	3062.11981430745	19.6289731686375	0	0	11850.2915158089	1458.15229252736	15419.9604934768	0	0	51139.0833823489	14679.6677911168	2742.44796556107	0	16008.8296885359	14090.7985960576	0	709.447173095042	0	0	4595.98386048527	0	0	81.3200316986411	0	0	0	0	70215.6411632405	47.6703634095483	17587.5599590992
02-2020-22-SL	0	120483.512313807	7786.47676512508	2870.67222843807	28566.8336582866	199049.693357867	0	0	36126.730254386	0	0	22843.2215624646	0	0	0	537.881618643509	6064.46748053011	1879.63027174325	0	0	0	0	0	0	0	18224.92663902	0	12863.8428136391	15328.6410001703	1968.29207701416	11258.079007066	0	0	2429.33346442288	0	0	8919.37761025336	295.539350903027	130791.924873304	44340.7539471508	5231.04651098358	110689.33822488	530.000569286095	884.647790369727	0	0	0	0	0	0	0	2322.93929809779	429.517189979066	11063.02303547	1696.39587418338	0	0	37801.4532428365	200.966758614058	297.50961324238	0	0	0	0	15852.7307824384	2579.07340221375	0	0	0	0	0	0	0	0	0	0	522.119519928681	0	35299.2200718575	66484.532379145	0	0	0	281.747514527552	667.918933040841	3554.35326019374	0	0	0	3138.62790659015	45654.9189274996	0	0	0	0	0	4768.0348612355	0	2693.34861789625	498.476371856439	19416.9353543289	27447.7246495338	1237.32474911401	7713.577058569	0	0	0	0	1428.4401960313	0	0	0	0	0	134716.687453296	24043.1113271309	16928.4940197254
02-2020-26-SL	0	28715.0851628171	35730.8385719992	2260.70612789393	14453.773401338	118979.594256605	344040.022816889	33324.5893134657	38942.3626520315	0	25602.185704205	19159.0296116178	1563.6311337784	9352.10366418469	0	166.608583758384	9111.76599451024	14983.2822910988	0	7309.71223225002	0	208411.060431601	55599.3909454846	710.480282463913	3372.38754021281	587120.031479178	20209.4297057727	0	0	0	530369.700776926	14017.1440094194	0	0	0	0	302054.659709776	0	0	409644.546473243	0	0	15405.5488740726	1098.2761239705	0	12207.4300823887	0	0	0	0	0	0	1305.10057277401	409.818815221772	17666.2550019666	3966.05030992659	0	0	3891.36370341421	22313.1024558714	0	0	0	0	9528.2874539062	24322.9381875314	2230.06546881193	0	3813.80453511289	0	0	0	14495.9043075757	0	0	0	632.921114162597	445.247077285337	12708.2133542602	380774.342973824	9104.10582973974	5108.37238132746	3385.79282856118	0	0	0	0	0	0	572.597316594906	2229.10794821562	0	293.958823067953	0	0	4468.74862299068	1468.83659474345	0	0	0	1649.80798744653	0	0	3538.99612397119	0	0	0	0	0	0	466.312530404213	0	885.70655158911	444.289556689024	0	924.964896037925	0
02-2020-28-SL	0	0	168194.178477127	2161.18570969763	0	1193220.97437848	1479126.89530081	0	0	0	27087.0375705941	12007.7651142121	0	0	0	0	0	638.020183457638	0	0	0	0	8919.69442356197	2642.18534956289	252.42543083838	22980.6522153807	8811.0388575318	16272.4960808962	3200.70146031552	1309.16706387569	25275.0072468592	9957.22257236225	0	1434.38597838607	0	66242.7933778073	19177.0448703856	0	0	0	0	0	10163.9331613952	213.335928425088	0	0	0	2676.63711440172	39241.2226853712	0	0	0	0	0	0	0	0	0	29402.5936881272	37885.0157118117	29158.7811984986	0	1380.05819537099	0	51252.3004692793	0	18810.6636020034	10128.8188626172	0	0	0	0	0	209.360724789838	0	455.160816236134	9788.93895180333	0	906689.621417528	211524.560635292	298.140272643756	226442.837344446	0	0	2050.54254184983	0	0	0	68.9035296776681	159.670679349212	559.841178631053	22045.8168271577	0	0	0	0	3504.80453841215	513.463802886469	4868.96191924214	0	0	0	0	0	0	678.434753749347	0	0	0	23563.6820818841	51280.126894726	0	435.284798059884	0	470796.617201451	302.778010218215	3364.34734329999
02-2020-29-SL	0	0	62247.4710254868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34391.5734967589	11447.1180840729	0	0	0	0	0	0	0	0	0	0	0	712863.611085183	0	0	0	37239.7220799734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128183.904271349	21790.8476238174	710240.731684621	662589.842793663	0	92104.9641580354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02-2020-30-SL	0	0	6893.25077718186	0	7375.09411404625	686149.73012825	0	0	0	0	2882.38684112274	0	0	3453.8530386439	0	0	0	0	0	24485.3510061005	0	10417.452943008	0	0	2790.83660711851	3866.31093499981	32706.5620196806	0	0	888.519113177922	50494.2906433661	88580.1516758007	3227.38667031764	8868.80845832583	0	317213.851331277	6501.99398764798	5635.63966796582	0	470433.286647434	0	681.326478326238	8072.80326582587	0	24043.9825095327	0	0	21515.2686776684	108676.87356974	65622.2440475603	196196.969904439	60849.1039525817	2512.33115841089	0	0	0	220853.857138464	19165.8005671177	90982.6225534065	14632.6184538976	0	0	0	7471.46278141912	55661.5785878998	0	0	3271.71625730916	0	0	0	0	51248.8573088958	0	0	0	12171.3626891943	99650.020496923	475380.854030358	75661.9318144666	0	15963.469750317	0	0	0	0	0	0	0	0	0	0	0	231.284801694904	4390.55648550826	0	874.063813071991	0	0	0	21061.3722543422	0	0	0	0	0	62.6396337923698	0	488.589143580484	10801.000239152	0	0	0	0	976922.91019243	218906.246370858	11908.2762272664
02-2020-34-SL	0	29843.9805139123	80887.4782204659	3228.80996077241	37021.9723788964	312898.699146726	0	37459.3410588417	101340.895900259	31213.9735849174	169750.502957581	56369.1045741224	0	7711.8389302114	0	0	3936.3181195074	29721.7745592218	0	7223.01511144904	0	17256.7671807816	0	0	424.504895240995	0	16446.3487444125	0	0	0	0	62382.9239233698	0	0	0	182164.055197204	0	0	47660.3223293298	20241.1652321729	346749.748596019	1659.42822685116	2585.62072555879	0	13262.562030105	11712.4759732402	4489.46086179112	43042.223620496	0	60627.0173112366	2868.62398905278	110236.203023264	0	0	0	14632.55510111	17597.6574754449	0	4856.07872586289	0	4630.96249353812	437.368679945267	15713.1130162689	6213.20801216365	1659.42822685116	0	791.122759312763	0	0	643.189235213628	0	0	5936.63664102179	7145.83240322341	0	3376.74348487155	143283.26592854	42193.213830014	82489.0194161478	99231.2352087585	7422.40377436527	10149.5261316711	0	3736.92945659118	829.71411342558	0	0	1575.81362627339	990.511422228987	0	63585.6877932193	4521.62032355181	2244.73043089556	424.504895240995	8554.41682834125	0	0	0	939.056283411897	0	27522.0673747911	0	1498.63091804775	0	0	0	0	0	0	0	0	0	17636.2488295577	3672.61053306982	363678.489266842	62466.5385239476	102582.251124222
02-2020-35-SL	0	245759.431552947	13556.4652622693	2898.33868593157	7229.92177699413	249847.797411623	0	72125.4911753799	5098.87555037511	0	0	12939.7358515766	0	0	0	0	0	1992.06495096995	0	2791.20728595208	0	0	0	0	0	0	0	0	0	0	0	29301.8856160114	0	0	0	3025.73818860988	0	0	0	0	0	0	1728.57961588526	0	0	0	9951.63842512167	92761.3151660236	0	0	0	0	0	0	30601.9396319787	155276.830218919	0	11552.8185383286	157853.774704912	0	0	0	0	0	8891.90619829754	0	0	0	11749.7086788315	20696.6282987401	0	0	0	0	0	0	285340.140680504	0	1484702.22244006	461623.41162513	0	34919.0455068279	243.217232385866	0	3486.11366419741	0	0	0	130.294945920999	0	914.960064689685	62257.8206042962	654.370172847686	0	0	34117.007728603	0	20378.1295420443	0	0	0	0	0	0	78.1769675525997	0	0	0	0	6650.83312845635	73509.5130453852	0	0	153817.526824604	2389166.305375	48585.5376123194	0
02-2020-37-SL	891.049296274458	6318.69622222586	46612.9368668768	3614.40609694211	17257.8834458179	220460.340793931	401687.183650402	94782.9855567725	5210.2868265749	78805.1115850607	117328.693642393	7580.27457679419	1142.72941134199	16183.7940658579	1262.84946626059	6211.28728422987	0	0	0	36416.0788715648	15785.3005503343	15105.2557949751	8757.95955967335	3274.38371926249	2148.81431576601	26980.6167799168	35711.2474382065	25855.6829322664	6787.10088082378	11991.6677047835	11401.8718795747	65431.7454707903	9150.73307258177	1840.56973039289	2008.99202961738	380352.845007506	2136.73875468953	5936.09160285552	129720.761530239	2681.41011482307	10572.4715003749	658.435856590826	19843.3246278753	1098.24050211288	5254.77573580401	1756.04080285758	4332.58420306917	21238.3697101309	24494.9578657018	31114.2720031472	45336.1051720014	25093.0159169102	16253.7052089322	255.493450144317	0	38160.0441133459	6007.2738576221	10496.2047988393	9020.4441241251	4673.87769244106	17339.8701499686	7211.65218603871	58841.6669022669	92.7911535350006	27132.5146271419	7762.04354878742	5797.54042839915	1299.07614949001	25800.3895736531	32619.9038026295	0	10989.3961354363	207575.717125335	76431.9460556108	3458.69491464023	17416.1368515043	198770.726433048	75209.7721635025	273439.640571494	202993.359474736	0	42096.0414684299	849.738166275999	3973.49515000564	7722.00353048122	0	1201.20054918597	3643.00611001797	32234.1214040285	0	11557.5830618766	45142.8961947778	0	3463.77936140927	104553.385579331	0	0	25173.7315093688	27907.8927594206	2893.0502115844	64206.3937994514	0	54359.7270753571	12203.943357391	16644.5720543023	0	1557.74737886498	8290.19045692156	6737.52752482563	12970.4237078239	3084.35252126958	1254.5872402609	0	0	200582.696150365	50862.8988099491	14050.233090399
